,Tau,Rho,Sigma,LogJitter
276934352,0.04335173085415789,0.7035513022290684,0.00038411550372684065,-11.929794688613203
276865044,0.18077859099805638,1.0112780100359295,0.0012942880691238722,-11.142644972114997
277021897,0.21529523103263842,1.8683080951610762,0.0004546232599525294,-12.075387221141796
277101323,0.02540121844928911,0.6708909382425281,0.00038068756332820624,-9.395702619619865
180609896,0.06137852080174023,0.9005575609224254,0.0011617756794262354,-10.849401954914171
276667896,0.4811030352498969,2.0848951056058858,0.00039480737228390173,-11.821767552176759
279957325,0.10391446928987377,0.6158573456881316,0.0010597855900883004,-6.624491670344999
404768745,0.07142545298359694,1.1263330018895443,0.009667007723346024,-5.519170475675392
391813303,0.03426779972599006,0.6010887849864048,0.001125414016189332,-8.962949909734451
179445102,0.056825335777251025,1.1638312377130953,0.004014573583354124,-11.725977508452251
31106686,0.054554434400398304,0.6832724207078196,0.0008091833983824775,-8.352480962347652
404850840,0.04581789272537477,0.7904011741913177,0.002453014782753821,-11.955127765785726
404851936,0.06220144517181087,1.6740219683255961,0.007536772421968679,-6.849877315936638
277172433,0.08270488388005222,1.9570076028014682,0.0034379243252660938,-11.946883951811056
279957416,0.0548239351427944,1.096715946523577,0.004125496153193866,-7.4938772391870225
277025859,0.10817070226775263,1.5305644430818652,0.009432325423787115,-12.104454860950671
40716826,0.1764698504177146,1.590673004763538,0.00037997486216758834,-11.714536762874369
276869095,0.16282631581549778,2.2684138074397913,0.003079913156322988,-11.615100460865742
727599699,0.13418542067947675,1.539149959190414,0.011539513015982961,-11.493518335423149
276865125,0.061230548743774496,1.1579944104008615,0.006775431365652271,-5.995685301070081
373679564,0.3080175832660954,2.0418316914941617,0.001017875673842724,-11.72734668942885
179376451,0.07748617285683086,1.5737305805703499,0.007566747779648288,-12.177687431965403
40515236,0.03293017859715021,1.085411896698095,0.002192939118654497,-11.851985884267654
373522149,0.10382564878890549,1.0120833206823794,0.0004220497738535664,-11.554251445658675
404934352,0.02087349770494904,0.5454599988841815,0.0007991513349970066,-8.254003008933465
277025094,1.0019128947382185,3.2987362414981747,0.0012877706563118462,-11.900320955172603
40518041,0.012754282419012405,3.0512651726432094,0.04638028243470443,-5.925604959097496
277172664,0.06263098874680456,1.0539148857688785,0.0021040225074007842,-11.776980154785894
404851207,0.1851484979759355,0.5575217441851041,0.0046832196352382845,-6.103703173144867
181454398,0.3423645431220212,0.7917943602395549,0.0009140738768061685,-7.153363041147078
425081475,0.058061916527626434,2.355277800685096,0.006968577970977945,-6.971482253255245
30113151,0.12065266094600366,1.9169207278409388,0.004225951799452813,-7.105625400334163
276787778,0.028025543301593254,0.8873813630217281,0.0010803208149794093,-11.756625043005643
277024372,0.0739388495060222,1.0953275524232624,0.0035449189707560357,-8.016716669541344
404933915,0.05254000718887379,0.9164421148459291,0.002038486596007349,-6.103513885544075
231743190,0.055288504601389996,1.380309304002635,0.0012037429910563304,-11.879824528053224
276864037,0.15769522780049997,0.9491716610005156,0.002620062400298514,-8.003662645135028
179203855,0.06819239471753212,1.300273911449759,0.005615967281624811,-6.666881060020874
276793444,0.3988169047227855,2.5478959415881595,0.0027753342225925247,-11.730170576833338
180616968,0.12130880798790354,0.9877573619579787,0.0030036285397035557,-10.606201469621077
277109064,0.10200242960283958,1.579062932286195,0.008393937353422531,-6.614168184488453
179639033,0.057669513606499134,1.391179212911367,0.0014349667917990605,-11.836555769870467
389749856,0.14357159836922173,2.04713601440211,0.007959143420834078,-12.176182357160435
391814255,0.09218041427309114,0.9706194867465983,0.0030479232651491723,-7.280018538859219
181042742,0.0466986533407327,0.8517638190687901,0.00043090383991997575,-7.387838691688576
183117215,0.2771099144000149,1.3188819176771422,0.0004693703403544046,-11.23465690381041
30112388,0.0054500919430177834,0.4678888326529539,0.003190807250336609,-6.609483521648571
31015738,0.09243186488760527,0.9365666456855064,0.005400518961174734,-11.83204581576262
279956577,0.03584873481613662,1.0051491390037912,0.0011275458721929144,-10.34679727563095
277100703,0.06087183589971288,0.809328499584986,0.0008837578163600325,-8.178521831424359
180792166,0.5958330341782448,2.8861668964588216,0.0017970142543936158,-6.966765831975829
404852071,0.09573711378260545,1.6298356213153797,0.008765837831374631,-11.808466667914617
287403631,0.046647712520467476,1.0725863894883259,0.0035166505277850284,-7.0844212229158385
294872353,0.0931237697821814,2.0430284002889074,0.009355873515013297,-6.669427683337268
181042827,0.0544026396393892,1.6162113506446096,0.010133383929470097,-5.976885084518207
181879931,0.07132143644358241,1.622278291339321,0.0019325558873973235,-8.907431961184713
391810734,0.16436574741511917,1.741960048700691,0.012349463628855282,-12.269652829947411
179204591,0.058465872679688245,1.3557497871282633,0.003425970479980125,-11.887794237537959
30722560,0.08272782046775928,1.272331900847052,0.007001895805240427,-6.092048773586011
404933493,0.0741772811209276,1.6726401958346016,0.0071500632868315124,-7.774340378742764
277099961,0.051323263125526104,1.3201653894756968,0.0030065425809494015,-10.48467293785883
277298575,0.06766772852691294,1.2224677125631984,0.004269424773977755,-11.699779048910578
277172038,0.10594945573268617,1.3637328183919868,0.008326260490660795,-10.939370164254186
40717315,0.05143218652297715,1.399751974247715,0.0023724723045392775,-7.176672432891658
182730111,0.02753926521715699,0.55609799560777,0.001658331430148802,-7.982168022623639
425084965,0.062216409422867575,1.5547741193997857,0.004157950447457954,-10.992963013654963
287400952,0.09622309150995434,1.3033824852057203,0.0015968903912994192,-11.782969578708219
182730312,0.05909454303671694,0.8953796050522007,0.0022903711645890935,-5.817597967610445
40516899,0.19052049407892765,1.7946137362004446,0.008511109990808051,-7.571414109960889
31109182,0.05084154948569282,0.8731868072889156,0.0017360908323440795,-8.434097047874687
391746270,0.047594677176200945,1.1260868429703157,0.003003075943142339,-7.224236191942426
277300709,0.10824253311687944,1.8726749478883864,0.007872775860271727,-7.08344431767102
276863889,0.04031708895144363,0.9885102673337118,0.0019502571799364125,-8.058453792814609
404965983,0.25245828149328947,1.9161843501183484,0.008992128787176909,-11.30877595541801
30275228,0.04552992932790352,1.1335691493822924,0.002419807922468346,-12.010482064628803
287400996,0.0644717979309733,1.1944160468497116,0.0033398962739754562,-11.809972825463326
179637509,0.14624620853890902,1.7500630994146942,0.0041537529220535266,-11.69369741385483
276793626,0.09739421114597674,1.4484209039991436,0.009335997605434508,-11.5107241124333
30848631,0.07128320153023021,1.5205247363382268,0.003308780765608051,-11.987130936147231
