,RA,Dec,dist,pmRA,pmDec,Tmag,ContRatio,SpT,CommonName,MKType,SimbadOType,SimbadSpT,teff,lum,SpecSource,Gal,w1mag,w2mag,w3mag,w4mag,RA_tic,Dec_tic,source_id,n_sectors,alpha,alpha_err_lo,alpha_err_hi,tau,tau_err_lo,tau_err_hi,gamma,gamma_err_lo,gamma_err_hi,alphaw,alphaw_err_lo,alphaw_err_hi,n_peaks,highest_amp,highest_amp_error,f0,f0_error,lc_length
182293477,14.966148578171,-72.726445628655,0.0598309461714886,0.830513,-1.09303,11.776,,RSG,PMMR 103,KM,Candidate_RSG*,K/M,3.614580866997486,4.683,N,SMC,9.423,9.564,9.235,8.48,14.966125,-72.7264305555556,4685975758520947200,1,0.0344209683209518,0.006671179311657,0.006835511835224,0.0889554539116955,0.0144840755206476,0.0141987256319895,3.6713254207080057,0.7908078967260659,0.8753513527939845,0.0060109490923075,2.759887302823498e-05,2.7324841901839488e-05,2.0,0.0023817031356261,4.598907234131536e-05,0.3926602329638235,0.0004462889262288,23.85402470991494
231798010,78.2853576716088,-70.1395572554551,0.108215187716142,1.9569,-0.00528341,11.6512,,YSG,SP77  39-16,,Star,K5-M3,3.618,4.624,N,LMC,9.383,9.541,9.172,8.77,,,4652183299421645568,12,0.0060652456103209,0.0014585688430543,0.0018806312894009,0.3670659202962926,0.0911099264578409,0.1174543551102723,1.5748913198583736,0.1600611049967513,0.1830329911212334,0.0016269487464765,1.1634141569117708e-05,1.2173811997901516e-05,0.0,,,,,353.4386607736942
181453919,13.440697566886598,-72.8941685670828,0.131604008195167,0.714687,-1.20555,11.6728,,YSG,PMMR  58,G5.5Iab,RedSG*,G5.5-K0Iab,3.62,4.756,N,SMC,9.475,9.551,9.197,8.942,,,4685955486272265984,2,0.0293899132400089,0.0064536014430274,0.0066569390804219,0.1922995603193409,0.0443767199248684,0.0489254389598948,1.8277112045714177,0.2056630518381523,0.2035274951336336,0.0041628666955582,1.3409700874863172e-05,1.328882614777538e-05,2.0,0.0009128563584094,3.5332133033327884e-05,0.5428983181926105,0.000431735988337,49.426506457725736
276860287,83.25736452750691,-66.80148506129349,0.113191306310124,1.52446,0.6825359999999999,11.5183,,YSG,RM 1-586,,LPV*,M:,3.628,4.629,N,LMC,9.472,9.626,9.367,8.92,,,4660261828009989888,10,0.0435534562541166,0.0043713690513035,0.0043435455796568,0.3108393929976267,0.0322229721592293,0.032703410106568,1.7472894805706352,0.0566429226570763,0.0592749775058056,0.0020267235002863,3.0442329977385142e-06,2.903254974239485e-06,3.0,0.0030848425797329,1.5031646688313689e-05,0.197299313729877,8.284665952396346e-06,324.2718919001336
179576115,80.4457437277087,-71.328862782874,0.2767926872917199,2.01293,0.137297,9.9949,,YSG,SP77  48-6,,Star,M,3.63,5.245,N,LMC,7.861,7.764,6.422,5.36,,,4651769406346606976,13,0.0149090370779944,0.0013402843759092,0.0013866054978411,0.2039493605212147,0.0222647350103686,0.0229607042516311,1.6066878418547117,0.0598486251307663,0.0615034859566672,0.0016793795395838,2.2350095426663078e-06,2.120135316193784e-06,1.0,6.658801919253539e-05,4.020672898878757e-06,2.0234875707782995,9.418881251930555e-05,353.4386825041274
276864159,83.68030018859609,-67.06957314351979,0.0946807472648999,1.50237,0.5619310000000001,10.5025,,YSG,2MASS J05344326-6704104,,Star,,3.63,5.038,N,LMC,8.352,8.472,7.971,7.335,,,4660152083005206272,10,0.0158066736382566,0.0015475186064274,0.0015283777703063,0.2243733074937369,0.0247498145630034,0.0249922642690082,1.9481904633143572,0.1126847233601802,0.1090108042914717,0.002145937798612,3.0910745524343093e-06,3.12546894511807e-06,1.0,0.0001099464451578,6.20292474990998e-06,1.225849793355791,9.592167511284949e-05,324.27190339959543
373606593,81.13513752414141,-68.4985303697929,0.167186413251134,1.57123,0.425839,11.8277,,YSG,SP77  46-10,,Star,M,3.631,4.542,N,LMC,9.647,9.824,8.973,7.664,,,4658512741193326720,12,0.0039612008804964,0.0010332447818098,0.0012908317631103,0.3527387059307623,0.1053930797317222,0.1328325199355551,1.3696426444415124,0.162604256273156,0.1832191813030506,0.0016315729941876,1.2807979018452991e-05,1.3025317778127656e-05,1.0,8.321089235205988e-05,9.369953581733732e-06,1.9334314457396111,0.0001756523444707,353.4386696958518
181660065,14.1101336761371,-73.4731413760645,0.035079129773556,0.598909,-1.16964,11.5594,,RSG,SV* HV  1685,K4Ia-Iab,RedSG*,K4Ia-Iab,3.631849462159818,4.694,N,SMC,9.296,9.295,8.771,8.118,14.1101625,-73.4731361111111,4685702323711912320,1,0.0068767294098068,0.004744333246627,0.0087990306970571,0.2762844752481879,0.1379641015846401,0.1622339376517907,2.3692608982349874,0.9216421491153072,1.002306490177444,0.0059802041182146,0.0001625454497896,0.0001589346204219,0.0,,,,,23.85399381072739
40716825,78.5786347030591,-67.263712237037,0.144428235363994,1.56102,0.209813,10.8872,,YSG,SP77  37-33,,Star,K5-M3,3.632,4.901,N,LMC,8.775,8.952,8.645,8.57,,,4658831844404939776,11,0.0077520404973613,0.0010560454499557,0.0010523007013792,0.3204957112352848,0.0608509051871062,0.0615170205649853,1.4839120797907004,0.1050747801350659,0.1044796529937117,0.0018137056639959,2.462473869357116e-06,2.5491557910141144e-06,0.0,,,,,324.2717679221669
181051257,13.148566860057,-72.8514678187325,0.0727181856206101,0.742582,-1.13406,11.8152,,YSG,SkKM  94,K0:III:,Candidate_RSG*,K/M,3.633,4.677,N,SMC,9.626,9.733,9.503,8.82,,,4685959338924700288,2,0.0043663938529586,0.0029625713044705,0.0053739376109379,0.3567090642209575,0.1380725367403985,0.1504748542828596,8.646404761016708,2.141915429778761,2.181728192502325,0.0041180642789111,7.260459181185949e-05,7.05452299138501e-05,0.0,,,,,49.42650710220096
