CommonName,ContRatio,Dec,Dec_y,MKType,MatchID,RA,RA_y,SimbadOType,SimbadSpT,SpT,SpecSource,TIC ID,Tmag,dist,lum,pmDec,pmRA,teff,w1mag,w2mag,w3mag,w4mag,alpha,e_alpha,tau,e_tau,gamma,e_gamma,alpha_w,e_alpha_w
V* V396 Cen,,-61.5839841500619,-61.5839722222222,M4Ia-Iab,443405175,199.35433424066602,199.354375,RedSG*,M4Ia-Iab,RSG,L,443405175,4.58,0.04296834703493,5.212000000000001,-1.75805,-4.77004,3.5502283530550898,-1.7830000000000001,-0.8759999999999999,-0.165,-1.521,0.23466667100491329,0.02186366384896171,0.14758099677109607,0.015048036152631953,1.5974085000705613,0.042742669377991406,0.009333334396173853,1.5688452121659948e-05
V* BI Cyg,,36.9321458735814,36.9321388888889,M4Iab,13249363,305.341196471481,305.341166666667,RedSG*,M4Iab,RSG,L,13249363,4.7378,0.0893778157785493,5.352,-5.2225,-2.9285200000000002,3.5532760461371,-2.055,-0.998,-1.729,-3.278,0.3705460561191554,0.0465802981502158,0.6584373680868043,0.09176880217412138,1.4775055874444223,0.04340177696767699,0.012376131699354217,1.57837033402038e-05
V* BC Cyg,,37.5330327177637,37.5330277777778,M,13325866,305.410617054233,305.410625,RedSG*,M3.5Ia,RSG,L,13325866,5.0944,0.0288238858308394,5.28,-5.83501,-3.8556199999999996,3.5532760461371,,,,,0.5345394404219532,0.059898772259920026,0.43630342063140903,0.06304834870439018,1.2836696274422246,0.03535710244839383,0.031051513678703103,4.2843208811298964e-05
V* SU Per,,56.6041380118765,56.604138888888905,Ma,348528265,35.5287273365466,35.5287083333333,RedSG*,M3-M4Iab,RSG,L,348528265,4.6496,0.0377872550606521,4.952,-1.48973,-0.616675,3.5532760461371,-1.376,-0.659,-0.22899999999999998,-1.273,0.12371483872622116,0.007910289947389532,0.053343901951770446,0.0038577017175048726,2.099266770385878,0.09345965221867897,0.0193602740250493,3.072067385463288e-05
V* PZ Cas,,61.789496432027796,61.7895,M3,272324954,356.013664431402,356.013666666667,RedSG*,M3Ia,RSG,L,272324954,4.9722,0.0133961160505342,5.324,-1.8075900000000005,-3.10958,3.55630250076729,-1.643,-0.594,-1.8619999999999999,-3.3510000000000004,0.11318735303392437,0.007715251910283408,0.1397807903080696,0.01171934860852064,1.5962502816740411,0.045011855292446126,0.010972182347591291,1.2384151945010377e-05
V* ST Cep,,57.0008520065031,57.0008611111111,M0,63963820,337.544740895758,337.544708333333,RedSG*,M2Ia-Iab,RSG,L,63963820,5.1498,0.0373220753581013,4.088,-2.83696,-3.5169599999999996,3.55630250076729,-0.846,-0.382,-0.222,-1.443,0.3624199081048042,0.039251634934206525,0.480935431432246,0.05551148946981852,1.5569474732819328,0.040867000655131144,0.010991996889004724,1.2445700514148211e-05
V* RW Cyg,,39.9817827842285,39.98177777777779,M4,15888421,307.210792776419,307.210791666667,RedSG*,M3-M4Ia-Iab,RSG,L,15888421,4.5964,0.0182813505518004,5.156000000000001,-5.51072,-3.25527,3.55630250076729,-1.868,-0.9490000000000001,-1.784,-3.125,0.8738653313542789,0.08691511516522285,0.43465157399901855,0.045612092090363106,1.4064589294495853,0.023143831575720072,0.01460623636912532,2.0529008099710223e-05
V* TZ Cas,,61.002330666171595,61.0023055555556,M2/4I,378292562,358.234320547703,358.234333333333,RedSG*,M3Iab,RSG,L,378292562,5.5622,0.0931113415205562,4.988,-2.07481,-3.2198900000000004,3.55630250076729,-0.826,-0.049,-0.33,-1.712,0.08473256433777666,0.00456515030012752,0.08430095454528234,0.005267664205012549,1.886240978606078,0.056675470914092654,0.010293471511931995,1.1509747949264133e-05
V* BU Per,,57.4213232905307,57.4213055555556,M4Ib,264731552,34.7220457440789,34.7220416666667,LPV*,M4Ib,RSG,L,264731552,5.8984,0.0643332809296138,4.763999999999999,-1.10552,-0.5265,3.55630250076729,-0.447,0.006999999999999999,-0.012,-1.3130000000000002,0.10232150612000343,0.005999481523732661,0.050110827758025646,0.002986025429776415,2.371350099507675,0.09799986406732375,0.011762872166311165,1.9101634473343644e-05
V* V349 Car,,-57.9663824732656,-57.9663888888889,Ma,457427613,157.39738942263799,157.397375,RedSG*,M3Iab,RSG,L,457427613,5.25,0.0359428671512882,4.808,3.6324400000000003,-7.19067,3.5593080109070097,-0.168,0.275,0.547,-0.542,0.40498041940496304,0.054194963269765896,0.3849442536741549,0.053229327625381434,1.5620995419940051,0.04611921968606413,0.0096406525965189,1.447346487735841e-05
V* V774 Cas,,60.3723257432516,60.3723055555556,K7,399433806,26.7500452545768,26.7500416666667,RedSG*,M3Iab-Ib,RSG,L,399433806,5.8528,0.0280604798303552,4.6160000000000005,-0.600928,-1.06776,3.5593080109070097,1.187,1.364,2.0669999999999997,1.2570000000000001,0.1246906779819983,0.013601291322757272,0.182353609883319,0.023384949712555864,1.7210000873727984,0.08397311740581265,0.011779843406726687,1.796472224818005e-05
HD  95687,,-61.048838312611196,-61.0488333333333,M2Iab,466289471,165.398996694686,165.399,RedSG*,M2Iab,RSG,L,466289471,4.6468,0.0188280879027745,4.948,1.08392,-6.74637,3.5593080109070097,-0.9420000000000001,-0.07200000000000001,-0.031,-1.391,0.8147932013452164,0.1223247943063575,1.1805123710078027,0.1807429845273485,1.3754451266765018,0.027479164137574678,0.009724054526983526,1.0520530431876867e-05
V* V441 Per,,57.4372604897256,57.43725,Ma,445664243,36.3410830755141,36.341083333333295,RedSG*,M3Iab,RSG,L,445664243,5.2828,0.0377663161982423,4.82,-1.55925,-0.253732,3.5593080109070097,-0.546,0.042,0.706,-0.34600000000000003,0.08385905505328553,0.004422934351097254,0.03979230938130904,0.002150489114732329,2.412144052153391,0.09629935637472987,0.01105501049779931,1.780958313569588e-05
HD 303250,,-58.0648479987705,-58.0648611111111,M3Iab,458834083,161.083501527236,161.0835,RedSG*,M3Iab,RSG,L,458834083,5.5845,0.0472939290271667,4.936,2.9346900000000002,-6.87542,3.5593080109070097,-0.5870000000000001,0.042,-0.067,-1.099,0.2341240505478676,0.029838747532171268,0.3499484610488706,0.0445832197841077,1.7979441415043629,0.07036162785667911,0.0077178595733254024,1.10924450139642e-05
