CommonName,ContRatio,Dec,Dec_y,MKType,MatchID,RA,RA_y,SimbadOType,SimbadSpT,SpT,SpecSource,TIC ID,Tmag,dist,lum,pmDec,pmRA,teff,w1mag,w2mag,w3mag,w4mag,alpha,e_alpha,tau,e_tau,gamma,e_gamma,alpha_w,e_alpha_w
HD 269655,,-68.4108887575286,,A5,391810734,82.6576972583833,,BlueSG*,B0Ia,YSG,N,391810734,11.1229,0.0957155075677576,4.497,0.97193,1.49475,3.924,12.017999999999999,11.989,11.149000000000001,6.692,0.2922722338157849,0.0138884374890422,0.8398870931433909,0.03621351361410461,1.4877363995507573,0.007948432359857684,0.0016308325479358595,7.302429948114061e-07
HD 269997,,-69.0853542083275,,B,404933493,85.3349733801108,,BlueSG*,B2.5Ia,YSG,N,404933493,9.3131,0.0314871023575863,4.97,0.889732,1.65792,3.927,10.779000000000002,10.744000000000002,10.626,6.797000000000001,0.13283538611160495,0.004986934909938943,0.46993694421864246,0.01705391495470895,1.597835134938333,0.01130437699569552,0.001971919767716968,9.037469637026736e-07
W61  6-77,,-69.2224195259062,,B2III,389363675,85.56405366772509,,Star,B2III,YSG,N,389363675,11.0693,0.0184619266362342,4.502,0.423688,1.6576799999999998,3.969,12.094000000000001,12.095999999999998,12.362,9.322000000000001,0.10303421492851243,0.0038214755586437853,0.4576131876725154,0.015708612966056124,1.844727091091497,0.01770168255300588,0.0020261345906629103,8.596094174548853e-07
HD 269777,,-67.3038084618584,,B,276864600,83.5769240904612,,BlueSG*,B3Ia,YSG,N,276864600,11.1527,0.0146902794508379,5.067,0.794582,1.37301,3.9760000000000004,11.015,11.004000000000001,10.978,9.981,0.4010823245994775,0.02050506669715789,0.9557466840809189,0.045528862833912234,1.4290988575610901,0.007765551888026701,0.0022740850964152477,1.183331539296495e-06
CPD-69   394,,-69.76013941539661,,B0I,276936320,83.65036910535379,,WR*,B0I+WN,YSG,N,276936320,10.7447,0.00758207113242033,4.571000000000001,0.341436,1.64198,3.984,11.948,11.918,10.489,9.137,0.8399792648128149,0.03477327815578662,0.554820893446447,0.02357243856927974,1.2608497058476633,0.004897525350293528,0.0052169900503553305,3.134712648033149e-06
HD 269992,,-69.8010422433435,,B2.5Ia,404967301,85.3653140103441,,BlueSG*,B2.5Ia,YSG,N,404967301,9.2562,0.0573481677075503,5.096,0.734628,1.96924,3.99,10.852,10.827,10.176,8.975,0.15798086864771346,0.005918284513042161,0.473867363794578,0.01658671979276051,1.6672979682303655,0.012053473428802941,0.002134925655033083,9.312214913808805e-07
HD 269786,,-69.7505643482814,,B,277022505,83.7650101480228,,Star,B1I,YSG,N,277022505,9.6554,0.0340858132527185,5.1160000000000005,0.508153,1.87152,4.0,10.901,10.894,11.488,8.87,0.38788590529700206,0.019395572643293675,0.906617414025147,0.044532062967812314,1.311372767968731,0.0060103448547844055,0.002156888085535451,1.1220263523495037e-06
HD 269101,,-68.7694099757683,,B3Iab,40343782,77.4383059321744,,BlueSG*,B3Iab,YSG,N,40343782,10.5774,0.0767909727456865,4.7989999999999995,-0.125497,1.76017,4.027,11.623,11.200999999999999,7.5329999999999995,4.305,0.07194591224404556,0.002349893731082278,0.34436376022704135,0.01046989705077348,1.9187892224261054,0.018614624034696322,0.001748801432260417,7.382826184168021e-07
SK -69   68,,-69.1171627054968,,B1II,40515514,77.4950175641342,,Star,B1II,YSG,N,40515514,11.5257,0.0266714722348529,4.611000000000001,0.180033,2.31089,4.029,11.806,11.884,10.974,9.724,0.15087238444736062,0.0062526732645305115,0.6056425822416294,0.023136382352645896,1.6155354498656167,0.011024539768720027,0.0015559404586467285,6.727785018661288e-07
HD 268798,,-68.4200818505455,,B:,30317301,74.28356450204441,,BlueSG*,B2Ia,YSG,N,30317301,10.1029,0.0307033467112152,5.071000000000001,-0.07406449999999999,1.94229,4.033,11.225,11.267999999999999,9.651,4.244,0.245256454166051,0.00897448344255119,0.44817100777953767,0.015608535245580773,1.511173873792046,0.008048959797333914,0.0023540971196393686,1.0971732452030036e-06
HD 269769,,-69.7810478054192,,B0.5I,276936458,83.62856914816301,,Star,B0.5I,YSG,N,276936458,10.6998,0.0742282215335759,4.7139999999999995,0.525752,1.78263,4.037,,,,,0.03333878182102616,0.0007423384854664997,0.154505784488627,0.0030058782865845742,2.561419426786744,0.03140240031826974,0.0016394405339396861,7.218622264761641e-07
